id,name,code,description,created_at,updated_at
3b75eb77-7810-4225-91df-f88e7f03a544,School of Computer Science and Engineering,CSE,School of Computer Science and Engineering at International University - VNU HCMC,2025-10-11 13:38:14,2025-10-11 13:38:14
defdeec1-8999-4706-b114-ee500d4d4e60,School of Electrical Engineering,EE,School of Electrical Engineering at International University - VNU HCMC,2025-10-11 13:38:14,2025-10-11 13:38:14
03551b5d-55a6-4bc8-bb48-bf1506f97d23,School of Business Administration,BA,School of Business Administration at International University - VNU HCMC,2025-10-11 13:38:14,2025-10-11 13:38:14
89c0cba5-1683-4b4c-a888-f5e68a2fc70b,School of Biotechnology,BT,School of Biotechnology at International University - VNU HCMC,2025-10-11 13:38:14,2025-10-11 13:38:14
18c3b73f-dfad-46a2-b66e-e9591778ccda,School of Civil Engineering,CE,School of Civil Engineering at International University - VNU HCMC,2025-10-11 13:38:14,2025-10-11 13:38:14
100b9326-04f8-448c-af05-9b4da591f61b,School of Industrial Systems Engineering,ISE,School of Industrial Systems Engineering at International University - VNU HCMC,2025-10-11 13:38:14,2025-10-11 13:38:14
8b19bc0b-fd6b-4280-a0ce-b3b1d573c5eb,School of Chemical Engineering,CHE,School of Chemical Engineering at International University - VNU HCMC,2025-10-11 13:38:14,2025-10-11 13:38:14
